,labels,scores,hw1_rules_1_Rule_N_v1,hw1_rules_Verification,hw1_rules_2_Rule_N_v1,hw1_rules_1_Rule_N,hw1_rules_2_Rule_N
hw1_design_(132),0,-0.8022882300000002,1,1,1,1,1
hw1_design_(281),0,-0.80140716,1,1,1,1,1
hw1_design_(281),0,-0.80140716,1,1,1,1,1
hw1_design_(180),0,-0.80023056,1,1,1,1,1
hw1_design_(180),0,-0.80023056,1,1,1,1,1
hw1_design_(37),0,-0.7960379,1,1,1,1,1
hw1_design_(37),0,-0.7960379,1,1,1,1,1
hw1_design_(183),0,-0.795236,1,1,1,1,1
hw1_design_(183),0,-0.795236,1,1,1,1,1
hw1_design_(285),0,-0.79489607,1,1,1,1,1
hw1_design_(285),0,-0.79489607,1,1,1,1,1
hw1_design_(41),0,-0.793612,1,1,1,1,1
hw1_design_(41),0,-0.793612,1,1,1,1,1
hw1_design_(185),0,-0.7890881299999999,1,1,1,1,1
hw1_design_(185),0,-0.7890881299999999,1,1,1,1,1
hw1_design_(1521)_v1,0,-0.7886447,1,1,1,1,1
hw1_design_(1521),0,-0.7886447,1,1,1,1,1
hw1_design_(124),0,-0.7884364,1,1,1,1,1
hw1_design_(124),0,-0.7884364,1,1,1,1,1
hw1_design_(283),0,-0.7872778,1,1,1,1,1
hw1_design_(283),0,-0.7872778,1,1,1,1,1
hw1_design_(178),0,-0.78640985,1,1,1,1,1
hw1_design_(178),0,-0.78640985,1,1,1,1,1
hw1_design_(258),0,-0.7810929,1,1,1,1,1
hw1_design_(258),0,-0.7810929,1,1,1,1,1
hw1_design_(1511)_v1,0,-0.7780373999999999,1,1,1,1,1
hw1_design_(1511),0,-0.7780373999999999,1,1,1,1,1
hw1_design_(259),0,-0.77753484,1,1,1,1,1
hw1_design_(259),0,-0.77753484,1,1,1,1,1
hw1_design_(1426),0,-0.7732734,1,1,1,1,1
hw1_design_(1426)_v1,0,-0.7732734,1,1,1,1,1
hw1_design_(131),0,-0.7726570400000001,1,1,1,1,1
hw1_design_(131),0,-0.7726570400000001,1,1,1,1,1
hw1_design_(62),0,-0.7725350999999999,1,1,1,1,1
hw1_design_(62),0,-0.7725350999999999,1,1,1,1,1
hw1_design_(253),0,-0.7710162399999999,1,1,1,1,1
hw1_design_(253),0,-0.7710162399999999,1,1,1,1,1
hw1_design_(278),0,-0.77009845,1,1,1,1,1
hw1_design_(278),0,-0.77009845,1,1,1,1,1
hw1_design_(126),0,-0.7699109000000001,1,1,1,1,1
hw1_design_(126),0,-0.7699109000000001,1,1,1,1,1
hw1_design_(1175)_v1,0,-0.7697574,1,1,1,1,1
hw1_design_(1175),0,-0.7697574,1,1,1,1,1
hw1_design_(179),0,-0.7695250500000002,1,1,1,1,1
hw1_design_(179),0,-0.7695250500000002,1,1,1,1,1
hw1_design_(125),0,-0.7684734,1,1,1,1,1
hw1_design_(125),0,-0.7684734,1,1,1,1,1
hw1_design_(171),0,-0.7683634,1,1,1,1,1
hw1_design_(171),0,-0.7683634,1,1,1,1,1
hw1_design_(279),0,-0.7681068,1,1,1,1,1
hw1_design_(279),0,-0.7681068,1,1,1,1,1
hw1_design_(123),0,-0.767169,1,1,1,1,1
hw1_design_(123),0,-0.767169,1,1,1,1,1
hw1_design_(127),0,-0.7669841599999999,1,1,1,1,1
hw1_design_(127),0,-0.7669841599999999,1,1,1,1,1
hw1_design_(478),0,-0.7669259300000001,1,1,1,1,1
hw1_design_(478),0,-0.7669259300000001,1,1,1,1,1
hw1_design_(256),0,-0.7663629700000001,1,1,1,1,1
hw1_design_(256),0,-0.7663629700000001,1,1,1,1,1
hw1_design_(65),0,-0.7646478400000001,1,1,1,1,1
hw1_design_(65),0,-0.7646478400000001,1,1,1,1,1
hw1_design_(234),0,-0.7643389999999999,1,1,1,1,1
hw1_design_(234),0,-0.7643389999999999,1,1,1,1,1
hw1_design_(265),0,-0.7643011,1,1,1,1,1
hw1_design_(265),0,-0.7643011,1,1,1,1,1
hw1_design_(300),0,-0.7637443499999998,1,1,1,1,1
hw1_design_(300),0,-0.7637443499999998,1,1,1,1,1
hw1_design_(29),0,-0.7627703500000002,1,1,1,1,1
hw1_design_(29),0,-0.7627703500000002,1,1,1,1,1
hw1_design_(177),0,-0.7621463999999999,1,1,1,1,1
hw1_design_(177),0,-0.7621463999999999,1,1,1,1,1
hw1_design_(378),0,-0.7615217000000001,1,1,1,1,1
hw1_design_(378),0,-0.7615217000000001,1,1,1,1,1
hw1_design_(17),0,-0.7609885,1,1,1,1,1
hw1_design_(17),0,-0.7609885,1,1,1,1,1
hw1_design_(3),0,-0.7608891,1,1,1,1,1
hw1_design_(3)_v1,0,-0.7608891,1,1,1,1,1
hw1_design_(6)_v1,0,-0.7603705500000001,1,1,1,1,1
hw1_design_(6),0,-0.7603705500000001,1,1,1,1,1
hw1_design_(172),0,-0.7599122500000001,1,1,1,1,1
hw1_design_(172),0,-0.7599122500000001,1,1,1,1,1
hw1_design_(1522)_v1,0,-0.75935555,1,1,1,1,1
hw1_design_(1522),0,-0.75935555,1,1,1,1,1
hw1_design_(66),0,-0.7589956,1,1,1,1,1
hw1_design_(66),0,-0.7589956,1,1,1,1,1
hw1_design_(329),0,-0.75878316,1,1,1,1,1
hw1_design_(329),0,-0.75878316,1,1,1,1,1
hw1_design_(1535),0,-0.7581138000000001,1,1,1,1,1
hw1_design_(1535)_v1,0,-0.7581138000000001,1,1,1,1,1
hw1_design_(479),0,-0.7575258600000001,1,1,1,1,1
hw1_design_(479),0,-0.7575258600000001,1,1,1,1,1
hw1_design_(251),0,-0.75693893,1,1,1,1,1
hw1_design_(251),0,-0.75693893,1,1,1,1,1
hw1_design_(1386)_v1,0,-0.7560102,1,1,1,1,1
hw1_design_(1386),0,-0.7560102,1,1,1,1,1
hw1_design_(270),0,-0.75598526,1,1,1,1,1
hw1_design_(270),0,-0.75598526,1,1,1,1,1
hw1_design_(267),0,-0.75517285,1,1,1,1,1
hw1_design_(267),0,-0.75517285,1,1,1,1,1
hw1_design_(173),0,-0.75485635,1,1,1,1,1
hw1_design_(173),0,-0.75485635,1,1,1,1,1
hw1_design_(1516),0,-0.75483876,1,1,1,1,1
hw1_design_(1516)_v1,0,-0.75483876,1,1,1,1,1
hw1_design_(59),0,-0.7547231300000001,1,1,1,1,1
hw1_design_(59),0,-0.7547231300000001,1,1,1,1,1
hw1_design_(257),0,-0.7540477499999999,1,1,1,1,1
hw1_design_(257),0,-0.7540477499999999,1,1,1,1,1
hw1_design_(1436)_v1,0,-0.75299317,1,1,1,1,1
hw1_design_(1436),0,-0.75299317,1,1,1,1,1
hw1_design_(271),0,-0.7526653000000001,1,1,1,1,1
hw1_design_(271),0,-0.7526653000000001,1,1,1,1,1
hw1_design_(286),0,-0.75204295,1,1,1,1,1
hw1_design_(286),0,-0.75204295,1,1,1,1,1
hw1_design_(103),0,-0.75199777,1,1,1,1,1
hw1_design_(103),0,-0.75199777,1,1,1,1,1
hw1_design_(36),0,-0.751634,1,1,1,1,1
hw1_design_(36),0,-0.751634,1,1,1,1,1
hw1_design_(5)_v1,0,-0.7512272600000001,1,1,1,1,1
hw1_design_(5),0,-0.7512272600000001,1,1,1,1,1
hw1_design_(1506)_v1,0,-0.7512213,1,1,1,1,1
hw1_design_(1506),0,-0.7512213,1,1,1,1,1
hw1_design_(1414),0,-0.75006765,1,1,1,1,1
hw1_design_(1414)_v1,0,-0.75006765,1,1,1,1,1
hw1_design_(250),0,-0.7483475999999999,1,1,1,1,1
hw1_design_(250),0,-0.7483475999999999,1,1,1,1,1
hw1_design_(476),0,-0.74827874,1,1,1,1,1
hw1_design_(476),0,-0.74827874,1,1,1,1,1
hw1_design_(2)_v1,0,-0.7482759000000001,1,1,1,1,1
hw1_design_(2),0,-0.7482759000000001,1,1,1,1,1
hw1_design_(260),0,-0.7468301999999999,1,1,1,1,1
hw1_design_(260),0,-0.7468301999999999,1,1,1,1,1
hw1_design_(342),0,-0.7467653,1,1,1,1,1
hw1_design_(342),0,-0.7467653,1,1,1,1,1
hw1_design_(524),0,-0.74670124,1,1,1,1,1
hw1_design_(524)_v1,0,-0.74670124,1,1,1,1,1
hw1_design_(35),0,-0.746524,1,1,1,1,1
hw1_design_(35),0,-0.746524,1,1,1,1,1
hw1_design_(405),0,-0.7462583,1,1,1,1,1
hw1_design_(405)_v1,0,-0.7462583,1,1,1,1,1
hw1_design_(1383)_v1,0,-0.7457998000000001,1,1,1,1,1
hw1_design_(1383),0,-0.7457998000000001,1,1,1,1,1
hw1_design_(48),0,-0.74505305,1,1,1,1,1
hw1_design_(48),0,-0.74505305,1,1,1,1,1
hw1_design_(397),0,-0.7444331599999999,1,1,1,1,1
hw1_design_(397),0,-0.7444331599999999,1,1,1,1,1
hw1_design_(115),0,-0.7443183700000001,1,1,1,1,1
hw1_design_(115),0,-0.7443183700000001,1,1,1,1,1
hw1_design_(328),0,-0.7442849999999999,1,1,1,1,1
hw1_design_(328),0,-0.7442849999999999,1,1,1,1,1
hw1_design_(47),0,-0.7439562,1,1,1,1,1
hw1_design_(47),0,-0.7439562,1,1,1,1,1
hw1_design_(1093),0,-0.74394226,1,1,1,1,1
hw1_design_(1093)_v1,0,-0.74394226,1,1,1,1,1
hw1_design_(55),0,-0.7435227600000001,1,1,1,1,1
hw1_design_(55),0,-0.7435227600000001,1,1,1,1,1
hw1_design_(543),0,-0.7429856700000002,1,1,1,1,1
hw1_design_(543),0,-0.7429856700000002,1,1,1,1,1
hw1_design_(276),0,-0.7422956000000002,1,1,1,1,1
hw1_design_(276),0,-0.7422956000000002,1,1,1,1,1
hw1_design_(377),0,-0.7422136999999999,1,1,1,1,1
hw1_design_(377)_v1,0,-0.7422136999999999,1,1,1,1,1
hw1_design_(1602)_v1,0,-0.7413823600000001,1,1,1,1,1
hw1_design_(1602),0,-0.7413823600000001,1,1,1,1,1
hw1_design_(527),0,-0.74104583,1,1,1,1,1
hw1_design_(527),0,-0.74104583,1,1,1,1,1
hw1_design_(610),0,-0.7406509999999998,1,1,1,1,1
hw1_design_(610),0,-0.7406509999999998,1,1,1,1,1
hw1_design_(97),0,-0.7403481000000001,1,1,1,1,1
hw1_design_(97),0,-0.7403481000000001,1,1,1,1,1
hw1_design_(408),0,-0.7402376999999999,1,1,1,1,1
hw1_design_(408),0,-0.7402376999999999,1,1,1,1,1
hw1_design_(163),0,-0.73916894,1,1,1,1,1
hw1_design_(163),0,-0.73916894,1,1,1,1,1
hw1_design_(190),0,-0.7389225,1,1,1,1,1
hw1_design_(190),0,-0.7389225,1,1,1,1,1
hw1_design_(370),0,-0.738854,1,1,1,1,1
hw1_design_(370),0,-0.738854,1,1,1,1,1
hw1_design_(1620)_v1,0,-0.7387337699999998,1,1,1,1,1
hw1_design_(1620),0,-0.7387337699999998,1,1,1,1,1
hw1_design_(1435),0,-0.7383692000000001,1,1,1,1,1
hw1_design_(1435)_v1,0,-0.7383692000000001,1,1,1,1,1
hw1_design_(240),0,-0.7380769000000001,1,1,1,1,1
hw1_design_(240),0,-0.7380769000000001,1,1,1,1,1
hw1_design_(373),0,-0.7377895,1,1,1,1,1
hw1_design_(373),0,-0.7377895,1,1,1,1,1
hw1_design_(211),0,-0.7376138,1,1,1,1,1
hw1_design_(211),0,-0.7376138,1,1,1,1,1
hw1_design_(1171)_v1,0,-0.7374389,1,1,1,1,1
hw1_design_(1171),0,-0.7374389,1,1,1,1,1
hw1_design_(1174)_v1,0,-0.7373364999999998,1,1,1,1,1
hw1_design_(1174),0,-0.7373364999999998,1,1,1,1,1
hw1_design_(583),0,-0.7373304999999999,1,1,1,1,1
hw1_design_(583),0,-0.7373304999999999,1,1,1,1,1
hw1_design_(104),0,-0.7366390000000002,1,1,1,1,1
hw1_design_(104),0,-0.7366390000000002,1,1,1,1,1
hw1_design_(526),0,-0.7362875300000001,1,1,1,1,1
hw1_design_(526),0,-0.7362875300000001,1,1,1,1,1
hw1_design_(590)_v1,0,-0.7354697000000001,1,1,1,1,1
hw1_design_(590),0,-0.7354697000000001,1,1,1,1,1
hw1_design_(530),0,-0.7353075000000001,1,1,1,1,1
hw1_design_(530),0,-0.7353075000000001,1,1,1,1,1
hw1_design_(642),0,-0.7342614000000001,1,1,1,1,1
hw1_design_(642)_v1,0,-0.7342614000000001,1,1,1,1,1
hw1_design_(102),0,-0.7341100000000002,1,1,1,1,1
hw1_design_(102),0,-0.7341100000000002,1,1,1,1,1
hw1_design_(528),0,-0.7340880600000002,1,1,1,1,1
hw1_design_(528),0,-0.7340880600000002,1,1,1,1,1
hw1_design_(1608)_v1,0,-0.7335504000000002,1,1,1,1,1
hw1_design_(1608),0,-0.7335504000000002,1,1,1,1,1
hw1_design_(420)_v1,0,-0.7332189700000001,1,1,1,1,1
hw1_design_(420),0,-0.7332189700000001,1,1,1,1,1
hw1_design_(269),0,-0.73317516,1,1,1,1,1
hw1_design_(269),0,-0.73317516,1,1,1,1,1
hw1_design_(609),0,-0.7330177999999999,1,1,1,1,1
hw1_design_(609)_v1,0,-0.7330177999999999,1,1,1,1,1
hw1_design_(415)_v1,0,-0.73270154,1,1,1,1,1
hw1_design_(415),0,-0.73270154,1,1,1,1,1
hw1_design_(164),0,-0.7326761499999999,1,1,1,1,1
hw1_design_(164),0,-0.7326761499999999,1,1,1,1,1
hw1_design_(547),0,-0.7326718999999999,1,1,1,1,1
hw1_design_(547),0,-0.7326718999999999,1,1,1,1,1
hw1_design_(423),0,-0.7310598500000001,1,1,1,1,1
hw1_design_(423),0,-0.7310598500000001,1,1,1,1,1
hw1_design_(241),0,-0.7308941,1,1,1,1,1
hw1_design_(241),0,-0.7308941,1,1,1,1,1
hw1_design_(414)_v1,0,-0.7308238,1,1,1,1,1
hw1_design_(414),0,-0.7308238,1,1,1,1,1
hw1_design_(572)_v1,0,-0.7303267,1,1,1,1,1
hw1_design_(572),0,-0.7303267,1,1,1,1,1
hw1_design_(403),0,-0.7296227000000001,1,1,1,1,1
hw1_design_(403)_v1,0,-0.7296227000000001,1,1,1,1,1
hw1_design_(274),0,-0.7288475600000001,1,1,1,1,1
hw1_design_(274),0,-0.7288475600000001,1,1,1,1,1
hw1_design_(600),0,-0.7286688000000001,1,1,1,1,1
hw1_design_(600),0,-0.7286688000000001,1,1,1,1,1
hw1_design_(571)_v1,0,-0.7286265,1,1,1,1,1
hw1_design_(571),0,-0.7286265,1,1,1,1,1
hw1_design_(532),0,-0.7280626000000001,1,1,1,1,1
hw1_design_(532),0,-0.7280626000000001,1,1,1,1,1
hw1_design_(1415),0,-0.7280312000000001,1,1,1,1,1
hw1_design_(1415)_v1,0,-0.7280312000000001,1,1,1,1,1
hw1_design_(313),0,-0.7280040999999999,1,1,1,1,1
hw1_design_(313),0,-0.7280040999999999,1,1,1,1,1
hw1_design_(235),0,-0.72783095,1,1,1,1,1
hw1_design_(235),0,-0.72783095,1,1,1,1,1
hw1_design_(398),0,-0.72777855,1,1,1,1,1
hw1_design_(398),0,-0.72777855,1,1,1,1,1
hw1_design_(239),0,-0.7274177000000001,1,1,1,1,1
hw1_design_(239),0,-0.7274177000000001,1,1,1,1,1
hw1_design_(165),0,-0.7270955,1,1,1,1,1
hw1_design_(165),0,-0.7270955,1,1,1,1,1
hw1_design_(407),0,-0.7267976000000002,1,1,1,1,1
hw1_design_(407),0,-0.7267976000000002,1,1,1,1,1
hw1_design_(494),0,-0.72557294,1,1,1,1,1
hw1_design_(494),0,-0.72557294,1,1,1,1,1
hw1_design_(643),0,-0.7254921000000001,1,1,1,1,1
hw1_design_(643),0,-0.7254921000000001,1,1,1,1,1
hw1_design_(544),0,-0.72511494,1,1,1,1,1
hw1_design_(544),0,-0.72511494,1,1,1,1,1
hw1_design_(1427),0,-0.7251085,1,1,1,1,1
hw1_design_(1427)_v1,0,-0.7251085,1,1,1,1,1
hw1_design_(275),0,-0.7250787,1,1,1,1,1
hw1_design_(275),0,-0.7250787,1,1,1,1,1
hw1_design_(541)_v1,0,-0.7244950499999999,1,1,1,1,1
hw1_design_(541),0,-0.7244950499999999,1,1,1,1,1
hw1_design_(268),0,-0.72425556,1,1,1,1,1
hw1_design_(268),0,-0.72425556,1,1,1,1,1
hw1_design_(434),0,-0.7242316999999999,1,1,1,1,1
hw1_design_(434)_v1,0,-0.7242316999999999,1,1,1,1,1
hw1_design_(145),0,-0.7241726,1,1,1,1,1
hw1_design_(145),0,-0.7241726,1,1,1,1,1
hw1_design_(227),0,-0.7240821,1,1,1,1,1
hw1_design_(227),0,-0.7240821,1,1,1,1,1
hw1_design_(654),0,-0.7237055999999998,1,1,1,1,1
hw1_design_(654),0,-0.7237055999999998,1,1,1,1,1
hw1_design_(117),0,-0.7236033700000001,1,1,1,1,1
hw1_design_(117),0,-0.7236033700000001,1,1,1,1,1
hw1_design_(187),0,-0.7233726000000001,1,1,1,1,1
hw1_design_(187),0,-0.7233726000000001,1,1,1,1,1
hw1_design_(410),0,-0.7233691000000001,1,1,1,1,1
hw1_design_(410),0,-0.7233691000000001,1,1,1,1,1
hw1_design_(419)_v1,0,-0.7232598699999999,1,1,1,1,1
hw1_design_(419),0,-0.7232598699999999,1,1,1,1,1
hw1_design_(157),0,-0.7228665000000001,1,1,1,1,1
hw1_design_(157),0,-0.7228665000000001,1,1,1,1,1
hw1_design_(52),0,-0.7227133500000001,1,1,1,1,1
hw1_design_(52),0,-0.7227133500000001,1,1,1,1,1
hw1_design_(223),0,-0.7224703999999998,1,1,1,1,1
hw1_design_(223),0,-0.7224703999999998,1,1,1,1,1
hw1_design_(406)_v1,0,-0.72213936,1,1,1,1,1
hw1_design_(406),0,-0.72213936,1,1,1,1,1
hw1_design_(418)_v1,0,-0.72204214,1,1,1,1,1
hw1_design_(418),0,-0.72204214,1,1,1,1,1
hw1_design_(1416)_v1,0,-0.72192955,1,1,1,1,1
hw1_design_(1416),0,-0.72192955,1,1,1,1,1
hw1_design_(548),0,-0.7219217000000001,1,1,1,1,1
hw1_design_(548),0,-0.7219217000000001,1,1,1,1,1
hw1_design_(574)_v1,0,-0.7212762,1,1,1,1,1
hw1_design_(574),0,-0.7212762,1,1,1,1,1
hw1_design_(1444)_v1,0,-0.7212742,1,1,1,1,1
hw1_design_(1444),0,-0.7212742,1,1,1,1,1
hw1_design_(542)_v1,0,-0.7211925399999999,1,1,1,1,1
hw1_design_(542),0,-0.7211925399999999,1,1,1,1,1
hw1_design_(266),0,-0.72105527,1,1,1,1,1
hw1_design_(266),0,-0.72105527,1,1,1,1,1
hw1_design_(354),0,-0.7206569299999999,1,1,1,1,1
hw1_design_(354),0,-0.7206569299999999,1,1,1,1,1
hw1_design_(229),0,-0.7206063,1,1,1,1,1
hw1_design_(229),0,-0.7206063,1,1,1,1,1
hw1_design_(1747),0,-0.7204610000000001,1,1,1,1,1
hw1_design_(1747)_v1,0,-0.7204610000000001,1,1,1,1,1
hw1_design_(118),0,-0.7201583,1,1,1,1,1
hw1_design_(118),0,-0.7201583,1,1,1,1,1
hw1_design_(637),0,-0.7198539000000002,1,1,1,1,1
hw1_design_(637),0,-0.7198539000000002,1,1,1,1,1
hw1_design_(496),0,-0.71961504,1,1,1,1,1
hw1_design_(496),0,-0.71961504,1,1,1,1,1
hw1_design_(545),0,-0.71941054,1,1,1,1,1
hw1_design_(545),0,-0.71941054,1,1,1,1,1
hw1_design_(523),0,-0.7192419,1,1,1,1,1
hw1_design_(523)_v1,0,-0.7192419,1,1,1,1,1
hw1_design_(33),0,-0.7185771499999999,1,1,1,1,1
hw1_design_(33),0,-0.7185771499999999,1,1,1,1,1
hw1_design_(1168)_v1,0,-0.7178696000000001,1,1,1,1,1
hw1_design_(1168),0,-0.7178696000000001,1,1,1,1,1
hw1_design_(38),0,-0.7176523,1,1,1,1,1
hw1_design_(38),0,-0.7176523,1,1,1,1,1
hw1_design_(191),0,-0.7168137999999998,1,1,1,1,1
hw1_design_(191),0,-0.7168137999999998,1,1,1,1,1
hw1_design_(57),0,-0.716686,1,1,1,1,1
hw1_design_(57),0,-0.716686,1,1,1,1,1
hw1_design_(371),0,-0.7163905,1,1,1,1,1
hw1_design_(371),0,-0.7163905,1,1,1,1,1
hw1_design_(427),0,-0.7163513999999999,1,1,1,1,1
hw1_design_(427),0,-0.7163513999999999,1,1,1,1,1
hw1_design_(1167),0,-0.71629083,1,1,1,1,1
hw1_design_(1167)_v1,0,-0.71629083,1,1,1,1,1
hw1_design_(1428)_v1,0,-0.7161240600000001,1,1,1,1,1
hw1_design_(1428),0,-0.7161240600000001,1,1,1,1,1
hw1_design_(1429),0,-0.7160254999999999,1,1,1,1,1
hw1_design_(1429)_v1,0,-0.7160254999999999,1,1,1,1,1
hw1_design_(432),0,-0.7159047000000001,1,1,1,1,1
hw1_design_(432)_v1,0,-0.7159047000000001,1,1,1,1,1
hw1_design_(10)_v1,0,-0.71578556,1,1,1,1,1
hw1_design_(10),0,-0.71578556,1,1,1,1,1
hw1_design_(96),0,-0.7156767999999999,1,1,1,1,1
hw1_design_(96)_v1,0,-0.7156767999999999,1,1,1,1,1
hw1_design_(1424)_v1,0,-0.7156598599999999,1,1,1,1,1
hw1_design_(1424),0,-0.7156598599999999,1,1,1,1,1
hw1_design_(1423),0,-0.7152629499999998,1,1,1,1,1
hw1_design_(1423)_v1,0,-0.7152629499999998,1,1,1,1,1
hw1_design_(552),0,-0.7151201,1,1,1,1,1
hw1_design_(552),0,-0.7151201,1,1,1,1,1
hw1_design_(56),0,-0.7148928999999999,1,1,1,1,1
hw1_design_(56),0,-0.7148928999999999,1,1,1,1,1
hw1_design_(1537),0,-0.7148519000000001,1,1,1,1,1
hw1_design_(1537)_v1,0,-0.7148519000000001,1,1,1,1,1
hw1_design_(325),0,-0.71447194,1,1,1,1,1
hw1_design_(325)_v1,0,-0.71447194,1,1,1,1,1
hw1_design_(576),0,-0.71438634,1,1,1,1,1
hw1_design_(576),0,-0.71438634,1,1,1,1,1
hw1_design_(110),0,-0.7143148000000001,1,1,1,1,1
hw1_design_(110),0,-0.7143148000000001,1,1,1,1,1
hw1_design_(58),0,-0.7143061,1,1,1,1,1
hw1_design_(58),0,-0.7143061,1,1,1,1,1
hw1_design_(1501)_v1,0,-0.71352935,1,1,1,1,1
hw1_design_(1501),0,-0.71352935,1,1,1,1,1
hw1_design_(376),0,-0.7135011000000001,1,1,1,1,1
hw1_design_(376),0,-0.7135011000000001,1,1,1,1,1
hw1_design_(1176)_v1,0,-0.7133236,1,1,1,1,1
hw1_design_(1176),0,-0.7133236,1,1,1,1,1
hw1_design_(737),0,-0.7130574999999999,1,1,1,1,1
hw1_design_(737),0,-0.7130574999999999,1,1,1,1,1
hw1_design_(551),0,-0.7130337,1,1,1,1,1
hw1_design_(551),0,-0.7130337,1,1,1,1,1
hw1_design_(498),0,-0.7130140999999999,1,1,1,1,1
hw1_design_(498),0,-0.7130140999999999,1,1,1,1,1
hw1_design_(607),0,-0.7129357,1,1,1,1,1
hw1_design_(607),0,-0.7129357,1,1,1,1,1
hw1_design_(1439)_v1,0,-0.7127307700000001,1,1,1,1,1
hw1_design_(1439),0,-0.7127307700000001,1,1,1,1,1
hw1_design_(424),0,-0.7125572,1,1,1,1,1
hw1_design_(424),0,-0.7125572,1,1,1,1,1
hw1_design_(166),0,-0.71208894,1,1,1,1,1
hw1_design_(166),0,-0.71208894,1,1,1,1,1
hw1_design_(660),0,-0.71172285,1,1,1,1,1
hw1_design_(660),0,-0.71172285,1,1,1,1,1
hw1_design_(108),0,-0.7117071,1,1,1,1,1
hw1_design_(108),0,-0.7117071,1,1,1,1,1
hw1_design_(933)_v1,0,-0.7115872000000001,1,1,1,1,1
hw1_design_(933),0,-0.7115872000000001,1,1,1,1,1
hw1_design_(45),0,-0.7112630600000001,1,1,1,1,1
hw1_design_(45),0,-0.7112630600000001,1,1,1,1,1
hw1_design_(1755)_v1,0,-0.7112315999999999,1,1,1,1,1
hw1_design_(1755),0,-0.7112315999999999,1,1,1,1,1
hw1_design_(1748),0,-0.71092194,1,1,1,1,1
hw1_design_(1748)_v1,0,-0.71092194,1,1,1,1,1
hw1_design_(749),0,-0.7109091000000001,1,1,1,1,1
